"count_american_indian","count_asian_non_hispanic","count_black_non_hispanic","count_citizen_status_total","count_citizen_status_unknown","count_ethnicity_total","count_ethnicity_unknown","count_female","count_gender_total","count_gender_unknown","count_hispanic_latino","count_male","count_nreceives_public_assistance","count_other_citizen_status","count_other_ethnicity","count_pacific_islander","count_participants","count_permanent_resident_alien","count_public_assistance_total","count_public_assistance_unknown","count_receives_public_assistance","count_us_citizen","count_white_non_hispanic","jurisdiction_name","percent_american_indian","percent_asian_non_hispanic","percent_black_non_hispanic","percent_citizen_status_total","percent_citizen_status_unknown","percent_ethnicity_total","percent_ethnicity_unknown","percent_female","percent_gender_total","percent_gender_unknown","percent_hispanic_latino","percent_male","percent_nreceives_public_assistance","percent_other_citizen_status","percent_other_ethnicity","percent_pacific_islander","percent_permanent_resident_alien","percent_public_assistance_total","percent_public_assistance_unknown","percent_receives_public_assistance","percent_us_citizen","percent_white_non_hispanic"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","8","17","0","17","0","12","17","0","9","5","8","0","0","0","17","0","17","0","9","17","0","10016","0","0","0.47","100","0","100","0","0.71","100","0","0.53","0.29","0.47","0","0","0","0","100","0","0.53","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","3","0","3","0","3","0","2","3","0","0","1","3","0","0","0","3","1","3","0","0","2","0","10018","0","1","0","100","0","100","0","0.67","100","0","0","0.33","1","0","0","0","0.33","100","0","0","0.67","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","1","0","1","0","1","1","0","0","0","1","0","0","0","1","0","1","0","0","1","0","10022","0","1","0","100","0","100","0","1","100","0","0","0","1","0","0","0","0","100","0","0","1","0"
"0","1","3","7","0","7","0","5","7","0","3","2","2","0","0","0","7","0","7","0","5","7","0","10023","0","0.14","0.43","100","0","100","0","0.71","100","0","0.43","0.29","0.29","0","0","0","0","100","0","0.71","1","0"
"0","0","0","4","0","4","1","4","4","0","0","0","3","0","0","0","4","0","4","0","1","4","3","10024","0","0","0","100","0","100","0.25","1","100","0","0","0","0.75","0","0","0","0","100","0","0.25","1","0.75"
